"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1437","test_faq_answer_opens_and_has_text[2]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","1493","test_faq_answer_opens_and_has_text[3]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","1377","test_faq_answer_opens_and_has_text[6]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","2562","test_positive_order_flow[data0-bottom]","tests","2025-10-07","passed","2025-10-07","","test_order","",""
"","2477","test_positive_order_flow[data0-top]","tests","2025-10-07","passed","2025-10-07","","test_order","",""
"","1412","test_faq_answer_opens_and_has_text[7]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","2542","test_positive_order_flow[data1-top]","tests","2025-10-07","passed","2025-10-07","","test_order","",""
"","6846","test_logo_yandex_opens_dzen_in_new_tab","tests","2025-10-07","passed","2025-10-07","","test_header","",""
"","1584","test_faq_answer_opens_and_has_text[0]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","1397","test_faq_answer_opens_and_has_text[4]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","2529","test_positive_order_flow[data1-bottom]","tests","2025-10-07","passed","2025-10-07","","test_order","",""
"","1413","test_faq_answer_opens_and_has_text[1]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","1407","test_faq_answer_opens_and_has_text[5]","tests","2025-10-07","passed","2025-10-07","","test_faq","",""
"","1258","test_open_main","tests","2025-10-07","passed","2025-10-07","","test_smoke","",""
"","1426","test_logo_scooter_leads_home","tests","2025-10-07","passed","2025-10-07","","test_header","",""
